n,algorithm,scenario,k,p,q,var,sep.means,nstart,nsteps,nsteps.c2,factor.nstart,factor.nsteps,balanced,seed,time,error,obj
400,1,2,3,200,5,0.01,0,400,20,20,5,1,2,4,152.260750055313,0.1175,483.476072660896
150,2,2,3,200,5,0.01,0,400,20,20,5,1,2,4,24.2388451099396,0.0466666666666667,170.17182151385
400,2,2,3,200,5,0.01,0,400,20,20,5,1,2,4,149.818686962128,0.0325,482.157885481893
150,3,2,3,200,5,0.01,0,400,20,20,5,1,2,4,117.151436090469,0.366666666666667,168.517029456774
400,3,2,3,200,5,0.01,0,400,20,20,5,1,2,4,759.42805480957,0.0475,482.538593811706
150,1,1,3,200,5,0.01,0,100,20,20,5,1,1,5,6.12362885475159,0.366666666666667,168.653690570498
400,1,1,3,200,5,0.01,0,100,20,20,5,1,1,5,38.8406848907471,0.28,480.974689798915
150,2,1,3,200,5,0.01,0,100,20,20,5,1,1,5,6.17448782920837,0.02,169.918517707676
400,2,1,3,200,5,0.01,0,100,20,20,5,1,1,5,40.3717331886292,0.05,478.980441334625
150,3,1,3,200,5,0.01,0,100,20,20,5,1,1,5,31.633800983429,0.366666666666667,168.653690570498
400,3,1,3,200,5,0.01,0,100,20,20,5,1,1,5,189.333897829056,0.075,479.98445373427
150,1,2,3,200,5,0.01,0,100,20,20,5,1,1,5,6.45176196098328,0.366666666666667,168.653690570498
400,1,2,3,200,5,0.01,0,100,20,20,5,1,1,5,39.6978349685669,0.28,480.974689798915
150,2,2,3,200,5,0.01,0,100,20,20,5,1,1,5,6.50861215591431,0.02,169.918517707676
400,2,2,3,200,5,0.01,0,100,20,20,5,1,1,5,39.9398040771484,0.05,478.980441334625
150,3,2,3,200,5,0.01,0,100,20,20,5,1,1,5,32.0728480815887,0.366666666666667,168.653690570498
400,3,2,3,200,5,0.01,0,100,20,20,5,1,1,5,189.548356056213,0.075,479.98445373427
150,1,1,3,200,5,0.01,0,400,20,20,5,1,1,5,25.6378390789032,0.366666666666667,168.653690570498
400,1,1,3,200,5,0.01,0,400,20,20,5,1,1,5,150.994632959366,0.075,479.98445373427
150,2,1,3,200,5,0.01,0,400,20,20,5,1,1,5,25.8372988700867,0.0133333333333333,169.834276469989
400,2,1,3,200,5,0.01,0,400,20,20,5,1,1,5,150.245573043823,0.0425,478.745724859962
150,3,1,3,200,5,0.01,0,400,20,20,5,1,1,5,125.310805082321,0.366666666666667,168.653690570498
400,3,1,3,200,5,0.01,0,400,20,20,5,1,1,5,747.820522069931,0.075,479.98445373427
150,1,2,3,200,5,0.01,0,400,20,20,5,1,1,5,25.1767659187317,0.366666666666667,168.653690570498
400,1,2,3,200,5,0.01,0,400,20,20,5,1,1,5,150.800812005997,0.075,479.98445373427
150,2,2,3,200,5,0.01,0,400,20,20,5,1,1,5,25.8065450191498,0.0133333333333333,169.834276469989
400,2,2,3,200,5,0.01,0,400,20,20,5,1,1,5,151.237608909607,0.0425,478.745724859962
150,3,2,3,200,5,0.01,0,400,20,20,5,1,1,5,121.872841835022,0.366666666666667,168.653690570498
400,3,2,3,200,5,0.01,0,400,20,20,5,1,1,5,747.807444095612,0.075,479.98445373427
150,1,1,3,200,5,0.01,0,100,20,20,5,1,2,5,6.27822494506836,0.366666666666667,168.653690570498
400,1,1,3,200,5,0.01,0,100,20,20,5,1,2,5,39.7253460884094,0.28,480.974689798915
150,2,1,3,200,5,0.01,0,100,20,20,5,1,2,5,6.58839392662048,0.02,169.918517707676
400,2,1,3,200,5,0.01,0,100,20,20,5,1,2,5,40.4230070114136,0.05,478.980441334625
150,3,1,3,200,5,0.01,0,100,20,20,5,1,2,5,32.2065439224243,0.366666666666667,168.653690570498
400,3,1,3,200,5,0.01,0,100,20,20,5,1,2,5,184.027667999268,0.075,479.98445373427
150,1,2,3,200,5,0.01,0,100,20,20,5,1,2,5,5.95807385444641,0.366666666666667,168.653690570498
400,1,2,3,200,5,0.01,0,100,20,20,5,1,2,5,37.6135017871857,0.28,480.974689798915
150,2,2,3,200,5,0.01,0,100,20,20,5,1,2,5,6.24183583259583,0.02,169.918517707676
400,2,2,3,200,5,0.01,0,100,20,20,5,1,2,5,35.6949760913849,0.05,478.980441334625
150,3,2,3,200,5,0.01,0,100,20,20,5,1,2,5,30.1729109287262,0.366666666666667,168.653690570498
400,3,2,3,200,5,0.01,0,100,20,20,5,1,2,5,191.301331043243,0.075,479.98445373427
150,1,1,3,200,5,0.01,0,400,20,20,5,1,2,5,25.8691229820251,0.366666666666667,168.653690570498
400,1,1,3,200,5,0.01,0,400,20,20,5,1,2,5,150.718147039413,0.075,479.98445373427
150,2,1,3,200,5,0.01,0,400,20,20,5,1,2,5,25.4405598640442,0.0133333333333333,169.834276469989
400,2,1,3,200,5,0.01,0,400,20,20,5,1,2,5,150.230768918991,0.0425,478.745724859962
150,3,1,3,200,5,0.01,0,400,20,20,5,1,2,5,124.718702077866,0.366666666666667,168.653690570498
400,3,1,3,200,5,0.01,0,400,20,20,5,1,2,5,737.531257867813,0.075,479.98445373427
150,1,2,3,200,5,0.01,0,400,20,20,5,1,2,5,25.1198871135712,0.366666666666667,168.653690570498
